year,id,title,link,status,author,cofauthor,corauthor,level,venue,note
M,42,"Toward Secure LLM Agents: Threat Surfaces, Attacks, Defenses, and Evaluation",https://arxiv.org/abs/2606.10749,pp,"Yuchen Ling, Shengcheng Yu, Zhenyu Chen, Chunrong Fang",/,"Shengcheng Yu, Chunrong Fang",/,/,
2026,41,Bridging Stakeholder and Product Requirements: An Empirical Study of Requirement Engineering in the Automotive Industry,https://arxiv.org/abs/2607.05632,ac,"Zixu Wang, Shengcheng Yu, Zhenchang Xing, Tobias Wenzel, Chunyang Chen",/,Shengcheng Yu,CCF-A,IEEE/ACM International Conference on Automated Software Engineering (ASE) - Industry Showcase Track,
2026,40,More than a Judge: An Empirical Study of Agent-Human Interaction in Crowdsourced Testing Assessment,https://doi.org/10.1145/3828168,pb,"Yue Wang, Yuan Zhao, Shengcheng Yu, Zhenyu Chen, Qing Gu",/,Yuan Zhao,CCF-A,ACM Transactions on Software Engineering and Methodology (TOSEM),
2026,39,Can Trajectory-Level Verdicts Be Trusted? An Empirical Study of Post-hoc Trajectory Interpretation for Mobile GUI Agents,https://seysc.com,ac,"Yunfeng Zhu, Shengcheng Yu, Zhenyu Chen",/,Zhenyu Chen,CCF-C,"IEEE International Conference on Software Quality, Reliability, and Security (QRS)",
2026,38,Scenario-Guided LLM-based Mobile App GUI Testing,https://doi.org/10.1145/3816025,pb,"Shengcheng Yu, Yuchen Ling, Chunrong Fang, Quan Zhou, Yi Zhao, Chunyang Chen, Shaomin Zhu, Zhenyu Chen",/,Chunrong Fang,CCF-A,ACM Transactions on Software Engineering and Methodology (TOSEM),
2026,37,Towards Automated Crowdsourced Testing via Personified-LLM,https://doi.org/10.1145/3808173,pb,"Shengcheng Yu, Yuchen Ling, Chunrong Fang, Zhenyu Chen, Chunyang Chen",/,/,CCF-A,ACM International Conference on the Foundations of Software Engineering (FSE),
2026,36,Large Language Models for Software Testing Education: an Experience Report,https://doi.org/10.1145/3803437.3805782,pb,"Peng Yang, Yunfeng Zhu, Chao Chang, Shengcheng Yu, Zhenyu Chen, Yong Tang",/,Yong Tang,CCF-A,ACM International Conference on the Foundations of Software Engineering (FSE) - Software Engineering Education Track,
2026,35,Software Testing Education Innovation for the Domestic Software and Hardware Ecosystem,http://doi.org/10.16512/j.cnki.jsjjy.2026.03.014,pb,"Zhenyu Chen, Chunrong Fang, Shengcheng Yu, Jiawei Liu",/,/,/,Computer Education (in Chinese),
2026,34,Survey on Application of Retrieval-augmented Generation in Software Engineering,https://www.jos.org.cn/jos/article/abstract/7567,pb,"Quanjun Zhang, Chunrong Fang, Shengcheng Yu, Yuan Zhao, Zhenyu Chen",/,Chunrong Fang,CCF-A (Chinese),Journal of Software (in Chinese),
2026,33,GUI Test Migration via LLM with Scenario-Granularity Understanding,https://doi.org/10.1007/s11704-025-50270-x,pb,"Quan Zhou, Shengcheng Yu, Chunrong Fang, Junyang Xing, Hongyi Yang, Jia Liu, Wenbin Guo, Zhenyu Chen",/,Chunrong Fang,CCF-B,Frontiers of Computer Science (FCS) - Letter,
2026,32,A Survey on Large Language Models for Software Engineering,https://doi.org/10.1007/s11432-025-4670-0,pb,"Quanjun Zhang, Chunrong Fang, Yang Xie, Yaxin Zhang, Shengcheng Yu, Weisong Sun, Yun Yang, Zhenyu Chen",/,/,CCF-A,Science China Information Sciences (SCIS),
2026,31,Human Cognitive Pattern Simulation for Crowdsourced Test Report Consistency Detection,https://doi.org/10.1109/TSE.2026.3659293,pb,"Yuchen Ling, Shengcheng Yu, Shuguang Chen, Liuming Wang, Chunrong Fang, Wenbin Guo, Jia Liu, Zhenyu Chen",/,Chunrong Fang,CCF-A,IEEE Transactions on Software Engineering (TSE),
2025,30,Vision-Based Mobile App GUI Testing: A Survey,https://doi.org/10.1145/3773027,pb,"Shengcheng Yu, Chunrong Fang, Ziyuan Tuo, Quanjun Zhang, Chunyang Chen, Zhenyu Chen, Zhendong Su",/,Chunrong Fang,/,ACM Computing Surveys (CSUR),
2025,29,TestBench: Evaluating Class-Level Test Case Generation Capability of Large Language Models,https://journal.hep.com.cn/fcs/EN/10.1007/s11704-025-50078-9,pb,"Quanjun Zhang, Ye Shang, Chunrong Fang, Siqi Gu, Shengcheng Yu, Jianyi Zhou, Zhenyu Chen",/,"Chunrong Fang, Zhenyu Chen",CCF-B,Frontiers of Computer Science (FCS),
2025,28,Multi-dimensional Assessment of Crowdsourced Testing Reports via LLMs,https://doi.org/10.1109/ASE63991.2025.00150,pb,"Yue Wang, Yuan Zhao, Shengcheng Yu, Zhenyu Chen",/,Yuan Zhao,CCF-A,IEEE/ACM International Conference on Automated Software Engineering (ASE),
2025,27,LLM-based Crowdsourced Test Report Clustering,https://doi.org/10.1145/3765756,pb,"Yue Wang, Yuan Zhao, Shengcheng Yu, Zhenyu Chen",/,Chunrong Fang,CCF-A,ACM Transactions on Software Engineering and Methodology (TOSEM),
2025,26,Text–Image Fusion Template for Large Language Model Assisted Crowdsourcing Test Aggregation,https://doi.org/10.1016/j.jss.2025.112478,pb,"Yunfeng Zhu, Shengcheng Yu, Zhaowei Zong, Yue Wang, Yuan Zhao, Zhenyu Chen",/,Yuan Zhao,CCF-B,Journal of Systems and Software (JSS),
2025,25,Test Script Intention Generation for Mobile Application via GUI Image and Code Understanding,https://doi.org/10.1145/3722105,pb,"Shengcheng Yu, Chunrong Fang, Jia Liu, Zhenyu Chen",/,"Chunrong Fang, Jia Liu",CCF-A,ACM Transactions on Software Engineering and Methodology (TOSEM),
2025,24,Semantic Matching-based Cross-Platform Mobile App Test Script Record and Replay via Large Language Models,https://www.jos.org.cn/jos/article/abstract/7414,pb,"Shengcheng Yu, Chunrong Fang, Ye Zhong, Quanjun Zhang, Qin Liu, Jia Liu, Tao Zheng, Zhenyu Chen",/,Chunrong Fang,CCF-A (Chinese),Journal of Software (in Chinese),
